"filename", "language", "JSON", "JavaScript", "CSV", "Markdown", "PowerShell", "GraphQL", "YAML", "comment", "blank", "total"
"c:\Users\marcus.ingram\Dev\warden.bot\commands\sentry\updatefield.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\marcus.ingram\Dev\warden.bot\commands\wiki\builds.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\marcus.ingram\Dev\warden.bot\commands\wiki\nhss.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\marcus.ingram\Dev\warden.bot\commands\wiki\wiki.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\marcus.ingram\Dev\warden.bot\commands\wiki\zoo.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\marcus.ingram\Dev\warden.bot\config.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\marcus.ingram\Dev\warden.bot\db\databaseinfo.md", "Markdown", 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"c:\Users\marcus.ingram\Dev\warden.bot\db\index.js", "JavaScript", 0, 181, 0, 0, 0, 0, 0, 50, 7, 238
"c:\Users\marcus.ingram\Dev\warden.bot\db\weeks\weeks.json", "JSON", 2887, 0, 0, 0, 0, 0, 0, 0, 0, 2887
"c:\Users\marcus.ingram\Dev\warden.bot\deploy-commands.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\marcus.ingram\Dev\warden.bot\discord\cleanString.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\marcus.ingram\Dev\warden.bot\discord\getRoleID.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 6, 1, 34
"c:\Users\marcus.ingram\Dev\warden.bot\discord\getSortedRoleIDs.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 5, 1, 27
"c:\Users\marcus.ingram\Dev\warden.bot\events\event.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 3, 62
"c:\Users\marcus.ingram\Dev\warden.bot\graphql\incursions.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 33, 0, 33
"c:\Users\marcus.ingram\Dev\warden.bot\graphql\index.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 1, 3, 92
"c:\Users\marcus.ingram\Dev\warden.bot\graphql\schema.graphql", "GraphQL", 0, 0, 0, 0, 0, 1109, 0, 31, 136, 1276
"c:\Users\marcus.ingram\Dev\warden.bot\index.js", "JavaScript", 0, 211, 0, 0, 0, 0, 0, 33, 17, 261
"c:\Users\marcus.ingram\Dev\warden.bot\package-lock.json", "JSON", 4015, 0, 0, 0, 0, 0, 0, 0, 1, 4016
"c:\Users\marcus.ingram\Dev\warden.bot\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\marcus.ingram\Dev\warden.bot\tmp\memberlist.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 7873, 2415, 0, 121, 28, 1109, 35, 230, 404, 12215
